time,N1,N2,P
73.5,0.0738753207256264,0.685921063553082,0.278660109161309
74,0.073880907783736,0.685895011136705,0.278677813735628
74.5,0.0738858750640799,0.685870306749739,0.278694726127307
75,0.0738902573071326,0.68584692426291,0.278710853169056
75.5,0.0738940884098302,0.685824835057339,0.278726203909019
76,0.0738974013746248,0.685804008333869,0.278740789393275
76.5,0.073900228266089,0.685784411404554,0.278754622459213
77,0.0739026001745995,0.685766009966754,0.278767717539629
77.5,0.0739045471866435,0.685748768360256,0.278780090477383
78,0.0739060983613019,0.685732649807892,0.27879175835042
78.5,0.0739072817124761,0.68571761664015,0.278802739306939
79,0.0739081241964409,0.685703630504277,0.278813052410478
79.5,0.0739086517043174,0.685690652558398,0.278822717494656
80,0.0739088890590785,0.685678643651183,0.2788317550273
80.5,0.0739088600167112,0.685667564487609,0.278840185983687
81,0.0739085872711785,0.685657375781367,0.278848031728595
81.5,0.073908092462838,0.685648038394469,0.278855313906867
82,0.0739073961899894,0.685639513464607,0.278862054342173
82.5,0.0739065180232422,0.685631762520824,0.278868274943658
83,0.0739054765224067,0.68562474758806,0.278873997620168
83.5,0.073904289255629,0.685618431281103,0.278879244201702
84,0.0739029728205081,0.685612776888505,0.278884036367809
84.5,0.0739015428669432,0.685607748446994,0.278888395582576
85,0.0739000141214807,0.68560331080691,0.278892343035907
85.5,0.0738984004129388,0.685599429689175,0.278895899590766
86,0.0738967146991071,0.685596071734313,0.278899085736085
86.5,0.0738949690943268,0.685593204544002,0.278901921545011
87,0.0738931748977774,0.68559079671564,0.278904426638216
87.5,0.0738913426223006,0.685588817870401,0.278906620151947
88,0.0738894820236111,0.685587238675206,0.278908520710557
88.5,0.0738876021297531,0.685586030859066,0.278910146403214
89,0.0738857112706717,0.68558516722421,0.278911514764528
89.5,0.0738838171077813,0.685584621652391,0.278912642758832
90,0.0738819266634231,0.685584369106771,0.278913546767862
90.5,0.073880046350112,0.685584385629741,0.278914242581587
91,0.0738781819994852,0.685584648337043,0.278914745391958
91.5,0.0738763388908716,0.685585135408518,0.278915069789345
92,0.07387452177941,0.685585826075811,0.278915229761451
92.5,0.0738727349236529,0.685586700607334,0.278915238694486
93,0.0738709821126003,0.685587740290776,0.278915109376416
93.5,0.0738692666921117,0.685588927413431,0.278914854002078
94,0.0738675915906567,0.685590245240606,0.278914484180004
94.5,0.0738659593443654,0.685591677992348,0.27891401094077
95,0.0738643721213496,0.685593210818722,0.27891344474671
95.5,0.0738628317452678,0.68559482977385,0.278912795502845
96,0.0738613397181145,0.685596521788911,0.278912072568886
96.5,0.0738598972422187,0.685598274644297,0.278911284772166
97,0.0738585052414383,0.685600076941081,0.278910440421387
97.5,0.0738571643815447,0.685601918071982,0.27890954732105
98,0.0738558750897924,0.685603788191953,0.27890861278647
98.5,0.0738546375736735,0.685605678188546,0.278907643659256
99,0.0738534518388596,0.685607579652172,0.27890664632318
99.5,0.073852317706336,0.685609484846379,0.278905626720323
100,0.0738512348287354,0.685611386678243,0.278904590367433
100.5,0.0738502027058819,0.685613278668986,0.27890354237241
101,0.0738492206995568,0.685615154924889,0.278902487450848
101.5,0.0738482880474992,0.685617010108589,0.27890142994257
102,0.0738474038766575,0.685618839410837,0.278900373828106
102.5,0.0738465672157081,0.685620638522763,0.278899322745035
103,0.0738457770068592,0.685622403608719,0.278898280004181
103.5,0.0738450321169579,0.68562413127974,0.278897248605581
104,0.0738443313479216,0.685625818567666,0.278896231254207
104.5,0.0738436734465134,0.68562746289997,0.278895230375412
105,0.0738430571134821,0.685629062075311,0.278894248130042
105.5,0.0738424810120894,0.685630614239838,0.278893286429226
106,0.0738419437760456,0.685632117864278,0.278892346948776
106.5,0.0738414440168757,0.685633571721814,0.27889143114322
107,0.0738409803307388,0.685634974866756,0.278890540259418
107.5,0.0738405513047223,0.685636326614041,0.278889675349767
108,0.0738401555226338,0.685637626519527,0.278888837284969
108.5,0.0738397915703131,0.685638874361122,0.278888026766366
109,0.0738394580404848,0.685640070120715,0.278887244337826
109.5,0.0738391535371755,0.685641213966922,0.278886490397184
110,0.0738388766797145,0.685642306238627,0.278885765207223
110.5,0.0738386261063417,0.685643347429325,0.278885068906209
111,0.073838400477441,0.685644338172238,0.27888440151797
111.5,0.0738381984784208,0.685645279226198,0.278883762961526
112,0.0738380188222615,0.68564617146229,0.278883153060278
112.5,0.0738378602517482,0.685647015851221,0.278882571550748
113,0.0738377215414085,0.685647813451414,0.278882018090896
113.5,0.073837601499173,0.685648565397795,0.278881492268
114,0.0738374989677762,0.685649272891272,0.278880993606124
114.5,0.0738374128259145,0.685649937188857,0.278880521573177
115,0.0738373419891792,0.685650559594441,0.278880075587567
115.5,0.0738372854107785,0.685651141450176,0.278879655024474
116,0.073837242082065,0.685651684128461,0.278879259221733
116.5,0.0738372110328825,0.685652189024494,0.278878887485362
117,0.0738371913317478,0.685652657549378,0.278878539094728
117.5,0.0738371820858785,0.685653091123759,0.278878213307365
118,0.0738371824410815,0.685653491171961,0.278877909363472
118.5,0.0738371915815144,0.685653859116617,0.278877626490078
119,0.0738372087293303,0.685654196373754,0.278877363904911
119.5,0.0738372331442178,0.685654504348323,0.278877120819964
120,0.0738372641228473,0.685654784430141,0.278876896444785
120.5,0.0738373009982325,0.685655037990242,0.278876689989488
121,0.0738373431390168,0.685655266377595,0.278876500667519
121.5,0.0738373899486944,0.685655470916182,0.278876327698164
122,0.0738374408647728,0.685655652902415,0.278876170308826
122.5,0.0738374953578866,0.685655813602865,0.278876027737088
123,0.0738375529308675,0.685655954252296,0.278875899232552
123.5,0.0738376131177799,0.685656076051976,0.27887578405849
124,0.0738376754829273,0.685656180168246,0.278875681493301
124.5,0.0738377396198346,0.685656267731343,0.278875590831791
125,0.073837805150214,0.685656339834443,0.278875511386289
125.5,0.0738378717229181,0.685656397532924,0.2788754424876
126,0.0738379390128852,0.685656441843819,0.278875383485823
126.5,0.0738380067200816,0.685656473745458,0.278875333751015
127,0.0738380745684448,0.685656494177272,0.278875292673742
127.5,0.0738381423048307,0.685656504039758,0.278875259665503
128,0.0738382096979694,0.685656504194576,0.278875234159047
128.5,0.0738382765374311,0.685656495464791,0.278875215608582
129,0.0738383426326063,0.685656478635214,0.278875203489901
129.5,0.0738384078117018,0.685656454452862,0.278875197300405
130,0.0738384719207546,0.685656423627508,0.278875196559066
130.5,0.0738385348226673,0.685656386832321,0.278875200806295
131,0.0738385963962638,0.685656344704576,0.278875209603769
131.5,0.0738386565353698,0.685656297846436,0.278875222534175
132,0.0738387151479173,0.685656246825791,0.278875239200915
132.5,0.0738387721550751,0.685656192177145,0.278875259227757
